method,query_id,src,dst,reachable,path_length,num_adjacent_edge_pairs,planning_path_cost,base_path_cost,pair_penalty_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,pair_strict_compatible_rate,pair_incompatible_fraction,low_pair_coverage_fraction,missing_pair_fraction,uncertified_edge_fraction,original_uncertified_edge_fraction,high_pair_risk_fraction,proxy_path_success,path_nodes,path_edge_ids,num_repair_edges,repair_edge_fraction,repair_certified_fraction,mean_repair_edge_proxy_score,min_repair_edge_proxy_score
support_shortest_path,0,229,404,True,4,3,11.773412719021717,11.773412719021717,30.0,0.1603966173466757,0.04302025914559615,0.11441244643951175,0.0,0.23479886480152118,0.5359062520795754,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.000160253000935633,229 149 42 405 404,907 592 252 1626,0,0.0,,,
support_shortest_path,1,7,380,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,2,401,477,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,3,315,106,True,4,3,12.831067154998287,12.831067154998287,28.867924528301888,0.38736948878303173,0.07607053333309882,0.2835038095746626,0.0513666006710006,0.47744186959948487,0.3396950715010657,0.037735849056603765,0.0,0.16911250873515024,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.25,0.25,1.0,0.008964418057583093,315 100 271 297 106,1264 400 1121 2298,1,0.25,1.0,0.5070174613249538,0.5070174613249538
support_shortest_path,4,428,224,True,3,2,12.11699475211007,12.11699475211007,20.0,0.2778889460140032,0.11225305433921032,0.25310296822603034,0.132797938655564,0.5109887920242273,0.5772812232448358,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.014228810292206904,428 474 309 224,1905 1795 1233,1,0.3333333333333333,1.0,0.3028025889835694,0.3028025889835694
support_shortest_path,5,327,27,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,6,55,461,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,7,64,67,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,8,440,380,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,9,0,470,True,4,3,14.554651747364954,14.554651747364954,30.0,0.39022912502995666,0.10473408603576015,0.4286673717970727,0.0252948962828377,0.6038683159409644,0.4139003030717753,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.00985395457049032,0 404 385 157 470,1919 1612 1525 1943,2,0.5,1.0,0.5683274710383341,0.39937702788278595
support_shortest_path,10,480,240,True,3,2,12.658113883008419,12.658113883008419,20.0,0.27394358954776843,0.13967343653596043,0.25146353534580407,0.1083575613353137,0.559668999461559,0.5070052265399296,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.016215415324030247,480 157 85 240,2032 640 378,1,0.3333333333333333,0.0,0.13967343653596043,0.13967343653596043
support_shortest_path,11,67,207,True,5,4,17.50460124506089,17.50460124506089,40.0,0.2807055114932986,0.057103266781169455,0.21225082996154515,0.0,0.5064567745103925,0.37700433020956525,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,0.4,1.0,0.0006313788994767583,67 361 251 113 196 207,2236 1433 999 429 823,1,0.2,1.0,0.40227631724246166,0.40227631724246166
support_shortest_path,12,152,177,True,4,3,17.38963174661092,17.38963174661092,30.0,0.2748168272657344,0.1634460739235848,0.2874729597762617,0.1459619439788536,0.7296741180694764,0.5368773772948683,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0037640331681493087,152 361 76 259 177,2146 2295 2192 2170,4,1.0,1.0,0.2748168272657344,0.1634460739235848
support_shortest_path,13,5,53,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,14,214,96,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,15,338,321,True,4,3,15.763710176427685,15.763710176427685,30.0,0.07705086790150986,0.04577028288004302,0.028736945192784975,0.0,0.17938926948723138,0.8041065333641627,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.75,1.0,1.9791364762416988e-05,338 259 404 474 321,2195 1066 1616 1797,1,0.25,1.0,0.15679942768350316,0.15679942768350316
support_shortest_path,16,352,59,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,17,475,393,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,18,84,119,True,3,2,8.85470036730224,8.85470036730224,20.0,0.2762473812178459,0.07568421320218989,0.25166355239761456,0.0455860626446362,0.4463702728860602,0.5067618320393822,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.010609391870256297,84 316 404 119,369 1280 1923,1,0.3333333333333333,1.0,0.4164581641306264,0.4164581641306264
support_shortest_path,19,385,369,True,3,2,11.478559048254985,11.478559048254985,20.0,0.28279556861042615,0.24284650427587418,0.4535114478230817,0.2446969948652104,0.41769341708903945,0.5630968620299454,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.022193480828428504,385 157 161 369,1525 643 660,0,0.0,,,
support_shortest_path,20,402,500,True,5,4,15.492307619438783,15.492307619438783,40.0,0.2589870611644884,0.04498735636160621,0.14002490043987675,1.1814722454179233e-17,0.5753290761153936,0.4451084948862776,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.2,1.0,0.0003868974017140918,402 375 271 1 303 500,1595 1466 1108 9 1223,0,0.0,,,
support_shortest_path,21,389,98,True,2,1,7.0101100286299705,7.0101100286299705,10.0,0.14753588798426814,0.056922964704514405,0.02956749009417985,0.0,0.26291220258809905,0.45794417465108045,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.01355613637800398,389 208 98,1549 869,0,0.0,,,
support_shortest_path,22,372,506,True,4,3,16.968632211564884,16.968632211564884,26.153846153846153,0.3354839042687551,0.20813441754886028,0.26137399399935807,0.0252948962828377,0.8565282339511191,0.26920158429534,0.1282051282051282,0.0,0.19999999999999998,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.011180676343006275,372 404 169 156 506,1922 1603 710 2366,2,0.5,1.0,0.3699347926228032,0.3478753605010881
support_shortest_path,23,311,203,True,4,3,11.766864351995725,11.766864351995725,30.0,0.311789689158537,0.1954631210731458,0.13363864629592398,0.0125193461800457,0.7504645668229677,0.1710483891195525,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.008150990104018381,311 171 271 1 203,1247 736 1108 2,0,0.0,,,
support_shortest_path,24,421,192,True,4,3,15.91425658033209,15.91425658033209,29.583333333333336,0.44094002288020656,0.22564749645196788,0.503521594061086,0.2741724175799633,0.8302919131814686,0.309241932161027,0.013888888888888867,0.0,0.013888888888888867,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.025847977069264772,421 199 363 271 192,2027 2037 2023 2048,4,1.0,1.0,0.44094002288020656,0.22564749645196788
support_shortest_path,25,327,98,True,4,3,14.521367033968907,14.521367033968907,30.0,0.14921794646094994,0.042526787154121615,0.13036352454606648,0.0,0.26232590788002863,0.7552286296703369,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.75,1.0,0.00017286707645079987,327 494 199 402 98,2353 1851 842 1587,1,0.25,1.0,0.3326985221852883,0.3326985221852883
support_shortest_path,26,327,507,True,3,2,10.739178263864947,10.739178263864947,20.0,0.2948781225517027,0.25727694230691744,0.24896012842683968,0.0536414429410556,0.7794473574769974,0.3584771552693769,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.025074119458232267,327 149 171 507,2380 597 2161,2,0.6666666666666666,1.0,0.3007641760323916,0.25727694230691744
support_shortest_path,27,390,300,True,5,4,15.381078962952675,15.381078962952675,40.0,0.11972524919276861,0.06088611202237137,0.05170488149164182,0.0,0.29351334562444775,0.6520818327571982,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6,0.6,1.0,1.1697317667720076e-05,390 149 415 509 361 300,1559 604 1666 1894 2299,1,0.2,1.0,0.16432433679482986,0.16432433679482986
support_shortest_path,28,39,36,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,29,147,395,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
