query_id,reachable,num_adjacent_edge_pairs,strict_compatible_rate
0,True,2,0.0
1,True,2,0.5
2,True,3,0.3333333333333333
3,True,3,0.0
4,True,2,0.0
5,False,0,0.0
6,True,2,0.0
7,True,3,0.0
8,True,3,0.0
9,True,2,0.0
10,True,2,0.0
11,True,2,0.0
12,True,2,0.0
13,True,3,0.3333333333333333
14,True,1,0.0
15,True,2,0.0
16,True,3,0.0
17,False,0,0.0
18,True,2,0.0
19,True,2,0.0
20,True,4,0.0
21,True,1,0.0
22,True,2,0.0
23,True,4,0.25
24,True,3,0.0
25,True,2,0.0
26,True,1,0.0
27,True,3,0.0
28,True,2,0.0
29,True,2,0.0
30,True,3,0.3333333333333333
31,True,2,0.0
32,True,2,0.0
33,True,3,0.3333333333333333
34,True,2,0.0
35,True,2,1.0
36,True,3,0.0
37,True,1,0.0
38,True,2,0.5
39,True,1,0.0
40,True,2,0.5
41,True,2,0.5
42,True,3,0.3333333333333333
43,True,1,0.0
44,True,2,0.0
45,True,4,0.0
46,True,1,0.0
47,True,2,0.0
48,True,2,0.0
49,True,2,0.0
50,True,3,0.3333333333333333
51,True,2,0.0
52,True,2,0.0
53,False,0,0.0
54,True,2,0.0
55,False,0,0.0
56,True,2,0.5
57,True,2,0.5
58,True,2,0.0
59,True,2,0.5
60,True,2,0.0
61,True,3,0.3333333333333333
62,True,2,0.0
63,True,2,0.0
64,True,2,0.0
65,True,2,0.0
66,True,2,0.0
67,True,4,0.25
68,True,1,1.0
69,True,3,0.0
70,True,2,0.0
71,True,1,0.0
72,True,2,0.5
73,True,2,0.5
74,True,3,0.3333333333333333
75,True,4,0.25
76,True,2,0.0
77,True,4,0.25
78,True,3,0.0
79,True,3,0.0
80,True,1,0.0
81,True,1,0.0
82,True,1,0.0
83,True,1,0.0
84,True,2,0.5
85,True,1,0.0
86,True,2,0.0
87,True,2,0.0
88,True,2,0.0
89,False,0,0.0
90,True,2,0.0
91,True,2,0.0
92,True,2,0.0
93,True,1,0.0
94,True,3,0.0
95,True,2,0.0
96,True,2,0.5
97,True,2,0.0
98,True,3,0.0
99,True,1,0.0
