dataset,phase2_run,phase2_run_dir,sampling_mode,seed,final_val_action_mse,best_val_action_mse,bottleneck_edge_val_mse,non_bottleneck_edge_val_mse,high_support_edge_val_mse,low_support_edge_val_mse,short_horizon_edge_val_mse,long_horizon_edge_val_mse
antmaze-large-stitch-v0,density_budget120_H10,results/phase2/antmaze_large_stitch/density_budget120_H10,uniform_transition,0,0.2129872664809227,0.2129872664809227,0.1900714592408735,0.20772609033646972,0.21439176318004527,0.18281005380778917,0.19732915277611116,0.20121810802403783
antmaze-large-stitch-v0,density_budget120_H10,results/phase2/antmaze_large_stitch/density_budget120_H10,uniform_edge,0,0.21505147591233253,0.21505147591233253,0.19014031442359172,0.20355203046530335,0.21849224846397472,0.17469527888921163,0.1974530255786223,0.1950798867029844
antmaze-large-stitch-v0,density_budget120_H10,results/phase2/antmaze_large_stitch/density_budget120_H10,bottleneck_weighted,0,0.21409844234585762,0.21409844234585762,0.18859477116553688,0.20356848557180268,0.2174073450779602,0.1742073341676135,0.19669220258810688,0.19424092869434814
