env_name,env_family,dataset_type,observation_type,failure_label,count,denominator,rate,ci95_low,ci95_high
antmaze-giant-navigate-v0,antmaze,ogbench,state,GOAL_INTERFACE_FAILURE,38,113,0.336283185840708,0.2558324486519233,0.42749951530611924
antmaze-giant-navigate-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,23,113,0.20353982300884957,0.1396323173788541,0.2869417795181416
antmaze-giant-navigate-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,52,113,0.46017699115044247,0.37110242693962714,0.551870212942059
antmaze-giant-stitch-v0,antmaze,ogbench,state,GOAL_INTERFACE_FAILURE,10,71,0.14084507042253522,0.07834118071720814,0.24021961969325883
antmaze-giant-stitch-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,16,71,0.22535211267605634,0.1437454836103039,0.33515395199770026
antmaze-giant-stitch-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,45,71,0.6338028169014085,0.5175700445451693,0.7362994611842647
antmaze-large-explore-v0,antmaze,ogbench,state,GOAL_INTERFACE_FAILURE,2,37,0.05405405405405406,0.01495066277053994,0.1770496506353991
antmaze-large-explore-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,23,37,0.6216216216216216,0.4610014255281996,0.7593621253610898
antmaze-large-explore-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,12,37,0.32432432432432434,0.19633077820815478,0.48536631495176064
antmaze-large-navigate-v0,antmaze,ogbench,state,GOAL_INTERFACE_FAILURE,4,32,0.125,0.04970053844474301,0.2806864978482796
antmaze-large-navigate-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,16,32,0.5,0.33630614316859386,0.6636938568314061
antmaze-large-navigate-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,12,32,0.375,0.2293366846595921,0.5474589941047487
antmaze-large-stitch-v0,antmaze,ogbench,state,GOAL_INTERFACE_FAILURE,2,36,0.05555555555555555,0.015369663767066846,0.18144974107611211
antmaze-large-stitch-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,15,36,0.4166666666666667,0.27140333505087283,0.5780003033572232
antmaze-large-stitch-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,19,36,0.5277777777777778,0.3700567162693947,0.6801420709279067
antmaze-medium-explore-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,12,22,0.5454545454545454,0.34659473289041554,0.7307998556799515
antmaze-medium-explore-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,10,22,0.45454545454545453,0.26920014432004846,0.6534052671095845
antmaze-medium-navigate-v0,antmaze,ogbench,state,GOAL_INTERFACE_FAILURE,8,19,0.42105263157894735,0.2314162039203038,0.6372444853483988
antmaze-medium-navigate-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,7,19,0.3684210526315789,0.1914927237627384,0.5896084250184328
antmaze-medium-navigate-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,4,19,0.21052631578947367,0.08507538491591576,0.43334714240266087
antmaze-medium-stitch-v0,antmaze,ogbench,state,GOAL_INTERFACE_FAILURE,7,34,0.20588235294117646,0.1034939602235132,0.3679871610821398
antmaze-medium-stitch-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,15,34,0.4411764705882353,0.28883240215296746,0.6054638221081631
antmaze-medium-stitch-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,12,34,0.35294117647058826,0.21487714895296073,0.5208634116998658
antmaze-teleport-explore-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,8,480,0.016666666666666666,0.008468816164498964,0.032539646109104634
antmaze-teleport-explore-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,472,480,0.9833333333333333,0.9674603538908952,0.991531183835501
antmaze-teleport-navigate-v0,antmaze,ogbench,state,GOAL_INTERFACE_FAILURE,283,461,0.613882863340564,0.5686722576086568,0.6572111400906885
antmaze-teleport-navigate-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,56,461,0.12147505422993492,0.09474120812978665,0.15446540332667505
antmaze-teleport-navigate-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,122,461,0.2646420824295011,0.22643650120318817,0.3067378102181648
antmaze-teleport-stitch-v0,antmaze,ogbench,state,GOAL_INTERFACE_FAILURE,137,400,0.3425,0.29769022933249495,0.39030625245640455
antmaze-teleport-stitch-v0,antmaze,ogbench,state,POLICY_LOCAL_FAILURE,53,400,0.1325,0.10274473201637832,0.16924705882438698
antmaze-teleport-stitch-v0,antmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,210,400,0.525,0.4760562161165593,0.5734681518534566
humanoidmaze-large-navigate-v0,humanoidmaze,ogbench,state,GOAL_INTERFACE_FAILURE,198,599,0.330550918196995,0.2940632644180094,0.36919819597224907
humanoidmaze-large-navigate-v0,humanoidmaze,ogbench,state,POLICY_LOCAL_FAILURE,187,599,0.3121869782971619,0.27637337409312773,0.3503942544182424
humanoidmaze-large-navigate-v0,humanoidmaze,ogbench,state,SUBGOAL_SEQUENCE_DRIFT,214,599,0.3572621035058431,0.3199079394479084,0.3964354582207329
