time_sec,run_id,env,seed,variant,stage,report_file,baseline_graph_role,phase,event,gate,evidence_class,embeddings_path,graph_path,boundary_path,boundary_loaded,reachability_path,reachability_loaded,embeddings_shape,graph_nodes,graph_edges,dataset_realigned_local_npz,dataset_realign_reason,dataset_size_before_realign,dataset_size_after_realign,dataset_size,num_trajectories,obs_dim,action_dim,traj_len_mean,traj_len_p10,traj_len_p90,base_graph_nodes,base_graph_edges,seed_for_audit,graph_id,num_nodes,num_edges,protected_nodes,endpoint_exact_retention_rate,cross_edge_rate,temporal_supported_edge_rate,unsupported_shortcut_edge_rate,support_count_positive_rate,support_score_mean,support_score_p50,support_score_p90,support_risk_mean,edge_type_TEMPORAL_BACKBONE_count,edge_type_TEMPORAL_BACKBONE_rate,edge_type_PROJECTED_TEMPORAL_SUPPORT_count,edge_type_PROJECTED_TEMPORAL_SUPPORT_rate,edge_type_SUPPORTED_CROSS_BRIDGE_count,edge_type_SUPPORTED_CROSS_BRIDGE_rate,edge_type_CROSS_TRAJ_CANDIDATE_count,edge_type_CROSS_TRAJ_CANDIDATE_rate,edge_type_UNSUPPORTED_SHORTCUT_count,edge_type_UNSUPPORTED_SHORTCUT_rate,base_nodes,endpoint_candidates,trajectory_anchor_candidates,projection_change_candidates,bottleneck_candidates,protected_candidates,stage29_nodes,projected_support_segments,projected_support_edges,unsupported_shortcut_edges,edge_type,count,rate,num_pairs,num_future_pairs,num_cross_pairs,planner_id,pair_id,pair_type,start_index,goal_index,true_dt,data_supported,start_node,goal_node,unsupported_edges,support_risk,cross_support_risk,found,num_subgoals,total_cost,total_risk,total_boundary,exec_cost,exec_budget,objective,path_cross_edge_rate,path_temporal_kind_rate,path_bridge_kind_rate,path_largest_edge_cost_ratio,path_min_p_exec,path_mean_p_exec,path_mean_risk,failure_label,path_temporal_backbone_rate,path_projected_support_rate,path_supported_bridge_rate,path_candidate_rate,path_unsupported_shortcut_rate,path_min_support_score,path_mean_support_score
1780358001.9338083,seed44_gas_cache,antmaze-giant-stitch-v0,44,full_bars,stage29_support_calibrated_graph,runs_stage29e_maxedges_offline/antmaze-giant-stitch-v0/full_bars/seed44_max12/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_cache_artifacts,completed,PASS_STAGE29_GAS_CACHE_ARTIFACTS,cache_artifact_reuse,runs_stage28_cached_gas/antmaze-giant-stitch-v0/full_bars/seed44_gas_cache/cache/embeddings.npy,runs_stage28_cached_gas/antmaze-giant-stitch-v0/full_bars/seed44_gas_cache/cache/graph.npz,runs_stage28_cached_gas/antmaze-giant-stitch-v0/full_bars/seed44_gas_cache/cache/boundary.npz,0,runs_stage28_cached_gas/antmaze-giant-stitch-v0/full_bars/seed44_gas_cache/checkpoints/reachability.pt,0,"[1000000, 32]",1959,32438,1,dataset_size_995000_embeddings_1000000;max_node_999510_dataset_size_995000,995000,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780358001.936769,seed44_gas_cache,antmaze-giant-stitch-v0,44,full_bars,stage29_support_calibrated_graph,runs_stage29e_maxedges_offline/antmaze-giant-stitch-v0/full_bars/seed44_max12/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_dataset_support,completed,PASS_STAGE29_DATASET_SUPPORT_AUDIT,dataset_support,,,,,,,,,,,,,,1000000,5000,29,8,200.0,200.0,200.0,1959,32438,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780358086.8355536,seed44_gas_cache,antmaze-giant-stitch-v0,44,full_bars,stage29_support_calibrated_graph,runs_stage29e_maxedges_offline/antmaze-giant-stitch-v0/full_bars/seed44_max12/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_graph_summary,completed,PASS_STAGE29_TYPED_EVIDENCE_GRAPH,support_calibrated_graph_summary,,,,,,,,,,,,,,,,,,,,,,,,stage29_support_calibrated,20000,366654,18067,0.5406,0.9028484620377795,0.09154679888941618,0.06175031501088219,0.8843050941759806,0.7093527913093567,0.8137719035148621,0.9927791357040405,0.2925976514816284,33411,0.09112405701287862,2073,0.005653831677821597,303996,0.8291086419349032,4533,0.012363154363514376,22641,0.06175031501088219,1959,4096,12000,4096,2048,19268,20000,5364709,1589556,22641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780358086.8487659,seed44_gas_cache,antmaze-giant-stitch-v0,44,full_bars,stage29_support_calibrated_graph,runs_stage29e_maxedges_offline/antmaze-giant-stitch-v0/full_bars/seed44_max12/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_edge_type_summary,completed,PASS_STAGE29_TYPED_EVIDENCE_GRAPH,typed_edge_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_TRAJ_CANDIDATE,4533,0.012363154363514376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780358086.851138,seed44_gas_cache,antmaze-giant-stitch-v0,44,full_bars,stage29_support_calibrated_graph,runs_stage29e_maxedges_offline/antmaze-giant-stitch-v0/full_bars/seed44_max12/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_edge_type_summary,completed,PASS_STAGE29_TYPED_EVIDENCE_GRAPH,typed_edge_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROJECTED_TEMPORAL_SUPPORT,2073,0.005653831677821597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780358086.8518958,seed44_gas_cache,antmaze-giant-stitch-v0,44,full_bars,stage29_support_calibrated_graph,runs_stage29e_maxedges_offline/antmaze-giant-stitch-v0/full_bars/seed44_max12/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_edge_type_summary,completed,PASS_STAGE29_TYPED_EVIDENCE_GRAPH,typed_edge_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPPORTED_CROSS_BRIDGE,303996,0.8291086419349032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780358086.852664,seed44_gas_cache,antmaze-giant-stitch-v0,44,full_bars,stage29_support_calibrated_graph,runs_stage29e_maxedges_offline/antmaze-giant-stitch-v0/full_bars/seed44_max12/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_edge_type_summary,completed,PASS_STAGE29_TYPED_EVIDENCE_GRAPH,typed_edge_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAL_BACKBONE,33411,0.09112405701287862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780358086.8533995,seed44_gas_cache,antmaze-giant-stitch-v0,44,full_bars,stage29_support_calibrated_graph,runs_stage29e_maxedges_offline/antmaze-giant-stitch-v0/full_bars/seed44_max12/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_edge_type_summary,completed,PASS_STAGE29_TYPED_EVIDENCE_GRAPH,typed_edge_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_SHORTCUT,22641,0.06175031501088219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780358086.8566644,seed44_gas_cache,antmaze-giant-stitch-v0,44,full_bars,stage29_support_calibrated_graph,runs_stage29e_maxedges_offline/antmaze-giant-stitch-v0/full_bars/seed44_max12/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_pair_sampling,completed,PASS_STAGE29_PAIR_SAMPLING,audit_pair_sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,256,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780358095.1667836,seed44_gas_cache,antmaze-giant-stitch-v0,44,reachability,stage29_support_calibrated_graph,runs_stage29e_maxedges_offline/antmaze-giant-stitch-v0/full_bars/seed44_max12/stage29_support_calibrated_audit.csv,sota_study_baseline_cached_gas_graph,stage29_path_probe,base_cached,PASS_STAGE29_OFFLINE_SUPPORT_AUDIT,base_cached_path_probe,,,,,,,,,,,,,,,,,,,,,,,,base_cached,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_reachability,0,future_same_traj,728052,728148,96,1,647,449,0,nan,nan,1,3,4.200956344604492,0.0,0.0,0.0,nan,4.200956463813782,1.0,0.0,0.0,0.3019090767310583,1.0,1.0,0.0,BASE_USES_CROSS_TRAJ_SHORTCUT_FOR_SUPPORTED_PAIR,,,,,,,
